Model,ticker,evtdate,cret,car,bhar,nrets_est
Market-Adjusted Model,MSFT,20100630,-0.047305622,-0.001416429,-0.001718379,60
Market-Adjusted Model,MSFT,20110630,0.008527179,-0.023475305,-0.023905356,60
Market-Adjusted Model,MSFT,20120702,0.0284186026,-0.008101325,-0.008285067,60
Market-Adjusted Model,MSFT,20130701,-0.019641835,-0.022545236,-0.022414628,60
Market-Adjusted Model,MSFT,20140630,0.0035953425,-0.00693733,-0.007130911,60
Market-Adjusted Model,MSFT,20150630,-0.018007041,-0.005940672,-0.005823085,60
Market-Adjusted Model,MSFT,20160630,0.0347896706,-0.000110836,-0.000174518,60
Market-Adjusted Model,MSFT,20170630,-0.023352505,-0.01896936,-0.018923961,60
Market-Adjusted Model,MSFT,20180702,0.0042583983,0.0042755839,0.0041547944,60
Market-Adjusted Model,MSFT,20190701,0.0181141116,0.0020866414,0.0020701634,60
Market-Adjusted Model,MSFT,20200630,0.042632278,0.0071338497,0.0072557185,60
Market-Adjusted Model,MSFT,20210630,0.010717493,0.0057149037,0.005714483,60
Market-Adjusted Model,MSFT,20100930,-0.012055541,-0.012122605,-0.01207149,60
Market-Adjusted Model,MSFT,20110930,-0.040860217,0.0077448437,0.0078760216,60
Market-Adjusted Model,MSFT,20121001,-0.016578249,-0.015570514,-0.015564277,60
Market-Adjusted Model,MSFT,20130930,0.0247177714,0.0243728936,0.0245776895,60
Market-Adjusted Model,MSFT,20140930,-0.010988974,0.0091014494,0.0090161679,60
Market-Adjusted Model,MSFT,20150930,0.0304920223,0.0108494245,0.0110816694,60
Market-Adjusted Model,MSFT,20160930,-0.010511815,-0.006927145,-0.006858327,60
Market-Adjusted Model,MSFT,20171002,0.0052795368,-0.005916992,-0.00599108,60
Market-Adjusted Model,MSFT,20181001,0.0064679473,0.0070734708,0.0070312654,60
Market-Adjusted Model,MSFT,20190930,-0.017700918,-0.00358001,-0.003633514,60
Market-Adjusted Model,MSFT,20200930,0.0144194232,0.0029305675,0.0028236354,60
Market-Adjusted Model,MSFT,20210930,0.0196812125,0.0187373357,0.0186932062,60
Market-Adjusted Model,MSFT,20101231,0.0003575342,-0.009347843,-0.009339014,60
Market-Adjusted Model,MSFT,20120103,0.0530360942,0.041428311,0.0420960942,60
Market-Adjusted Model,MSFT,20121231,0.0244807801,-0.00843133,-0.008850357,60
Market-Adjusted Model,MSFT,20131231,-0.003486218,0.000935287,0.0009525021,60
Market-Adjusted Model,MSFT,20141231,-0.014541673,0.0007891193,0.0006968202,60
Market-Adjusted Model,MSFT,20151231,-0.030946066,0.001259466,0.0012229966,60
Market-Adjusted Model,MSFT,20170103,-0.009538987,-0.020526194,-0.020570254,60
Market-Adjusted Model,MSFT,20180102,0.0073494781,-0.001512944,-0.001479068,60
Market-Adjusted Model,MSFT,20181231,-0.000592978,-0.011804126,-0.011932651,60
Market-Adjusted Model,MSFT,20191231,0.0104428058,0.0046955916,0.0045830054,60
Market-Adjusted Model,MSFT,20201231,-0.028819949,-0.021447297,-0.021237271,60
Market-Adjusted Model,MSFT,20211231,-0.021055745,-0.023900604,-0.023726849,60
Market-Adjusted Model,MSFT,20100331,-0.014531947,-0.018787859,-0.018816465,60
Market-Adjusted Model,MSFT,20110331,-0.00039232,-0.012337972,-0.012418945,60
Market-Adjusted Model,MSFT,20120402,-0.005603935,-0.012651127,-0.012689722,60
Market-Adjusted Model,MSFT,20130401,0.0151567985,0.0135991701,0.0136850419,60
Market-Adjusted Model,MSFT,20140331,0.0523373347,0.0289940042,0.0296771587,60
Market-Adjusted Model,MSFT,20150331,-0.006102026,-0.00719155,-0.007090759,60
Market-Adjusted Model,MSFT,20160331,0.0157192586,0.0062204269,0.0062844392,60
Market-Adjusted Model,MSFT,20170331,0.0012219619,0.0019916325,0.0019832813,60
Market-Adjusted Model,MSFT,20180402,0.003579816,0.0005543395,0.0002251284,60
Market-Adjusted Model,MSFT,20190401,0.0193278212,0.0009331941,0.0009650493,60
Market-Adjusted Model,MSFT,20200331,0.0160988912,0.0468851047,0.045093552,60
Market-Adjusted Model,MSFT,20210331,0.0302244522,0.0116052243,0.0113482582,60
Market-Adjusted Model,IBM,20100630,-0.0496976,-0.004330034,-0.004110357,60
Market-Adjusted Model,IBM,20110630,0.0266454858,-0.005630857,-0.00578705,60
Market-Adjusted Model,IBM,20120702,0.0236677066,-0.012772027,-0.013035963,60
Market-Adjusted Model,IBM,20130701,-0.021211317,-0.023964986,-0.02398411,60
Market-Adjusted Model,IBM,20140630,0.0331541348,0.0223322878,0.0224278813,60
Market-Adjusted Model,IBM,20150630,-0.005862452,0.0062993089,0.0063215041,60
Market-Adjusted Model,IBM,20160630,0.045641793,0.010431456,0.0106776039,60
Market-Adjusted Model,IBM,20170630,0.0016739282,0.0061681487,0.0061024727,60
Market-Adjusted Model,IBM,20180702,-0.003356084,-0.003475968,-0.003459688,60
Market-Adjusted Model,IBM,20190701,0.0122725735,-0.003657023,-0.003771375,60
Market-Adjusted Model,IBM,20200630,0.0115197408,-0.023112253,-0.023856819,60
Market-Adjusted Model,IBM,20210630,0.0106683401,0.0056402934,0.0056653301,60
Market-Adjusted Model,IBM,20100930,0.0055600861,0.0056355221,0.0055441369,60
Market-Adjusted Model,IBM,20110930,-0.023993295,0.0251892987,0.0247429434,60
Market-Adjusted Model,IBM,20121001,0.0190859725,0.0200433846,0.0200999445,60
Market-Adjusted Model,IBM,20130930,-0.020187132,-0.020376926,-0.020327214,60
Market-Adjusted Model,IBM,20140930,-0.015205721,0.0048795358,0.004799421,60
