gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,atq,dlttq,niq,costat,mkvaltq
1690,20100331,2010,2,INDL,C,D,STD,AAPL,USD,2010Q1,2010Q2,57057,0,3074,A,213764.46
1690,20100630,2010,3,INDL,C,D,STD,AAPL,USD,2010Q2,2010Q3,64725,0,3253,A,229768.1275
1690,20100930,2010,4,INDL,C,D,STD,AAPL,USD,2010Q3,2010Q4,75183,0,4308,A,259906.4875
1690,20101231,2011,1,INDL,C,D,STD,AAPL,USD,2010Q4,2011Q1,86742,0,6004,A,297089.0496
1690,20110331,2011,2,INDL,C,D,STD,AAPL,USD,2011Q1,2011Q2,94904,0,5987,A,322255.8241
1690,20110630,2011,3,INDL,C,D,STD,AAPL,USD,2011Q2,2011Q3,106758,0,7308,A,311133.8657
1690,20110930,2011,4,INDL,C,D,STD,AAPL,USD,2011Q3,2011Q4,116371,0,6623,A,354351.9056
1690,20111231,2012,1,INDL,C,D,STD,AAPL,USD,2011Q4,2012Q1,138681,0,13064,A,377546.67
1690,20120331,2012,2,INDL,C,D,STD,AAPL,USD,2012Q1,2012Q2,150934,0,11622,A,560568.4581
1690,20120630,2012,3,INDL,C,D,STD,AAPL,USD,2012Q2,2012Q3,162896,0,8824,A,547363.344
1690,20120930,2012,4,INDL,C,D,STD,AAPL,USD,2012Q3,2012Q4,176064,0,8223,A,626550.3528
1690,20121231,2013,1,INDL,C,D,STD,AAPL,USD,2012Q4,2013Q1,196088,0,13078,A,499695.9844
1690,20130331,2013,2,INDL,C,D,STD,AAPL,USD,2013Q1,2013Q2,194743,0,9547,A,416142.01
1690,20130630,2013,3,INDL,C,D,STD,AAPL,USD,2013Q2,2013Q3,199856,16958,6900,A,360224.5063
1690,20130930,2013,4,INDL,C,D,STD,AAPL,USD,2013Q3,2013Q4,207000,16960,7512,A,428699.7978
1690,20131231,2014,1,INDL,C,D,STD,AAPL,USD,2013Q4,2014Q1,225184,16961,13072,A,500680.6159
1690,20140331,2014,2,INDL,C,D,STD,AAPL,USD,2014Q1,2014Q2,205989,16962,10223,A,462533.0113
1690,20140630,2014,3,INDL,C,D,STD,AAPL,USD,2014Q2,2014Q3,222520,29030,7748,A,556573.661
1690,20140930,2014,4,INDL,C,D,STD,AAPL,USD,2014Q3,2014Q4,231839,28987,8467,A,591015.7208
1690,20141231,2015,1,INDL,C,D,STD,AAPL,USD,2014Q4,2015Q1,261894,32504,18024,A,643120.1292
1690,20150331,2015,2,INDL,C,D,STD,AAPL,USD,2015Q1,2015Q2,261194,40072,13569,A,717000.2515
1690,20150630,2015,3,INDL,C,D,STD,AAPL,USD,2015Q2,2015Q3,273151,47419,10677,A,715599.795
1690,20150930,2015,4,INDL,C,D,STD,AAPL,USD,2015Q3,2015Q4,290479,53463,11124,A,615336.4559
1690,20151231,2016,1,INDL,C,D,STD,AAPL,USD,2015Q4,2016Q1,293284,53204,18361,A,583612.7016
1690,20160331,2016,2,INDL,C,D,STD,AAPL,USD,2016Q1,2016Q2,305277,69374,10516,A,597095.8295
1690,20160630,2016,3,INDL,C,D,STD,AAPL,USD,2016Q2,2016Q3,305602,68939,7796,A,515586.574
1690,20160930,2016,4,INDL,C,D,STD,AAPL,USD,2016Q3,2016Q4,321686,75427,9014,A,603253.5663
1690,20161231,2017,1,INDL,C,D,STD,AAPL,USD,2016Q4,2017Q1,331141,73557,17891,A,608683.0919
1690,20170331,2017,2,INDL,C,D,STD,AAPL,USD,2017Q1,2017Q2,334532,84531,11029,A,747867.3829
1690,20170630,2017,3,INDL,C,D,STD,AAPL,USD,2017Q2,2017Q3,345173,89864,8717,A,744552.0036
1690,20170930,2017,4,INDL,C,D,STD,AAPL,USD,2017Q3,2017Q4,375319,97207,10714,A,790050.0981
1690,20171231,2018,1,INDL,C,D,STD,AAPL,USD,2017Q4,2018Q1,406794,103922,20065,A,859967.7987
1690,20180331,2018,2,INDL,C,D,STD,AAPL,USD,2018Q1,2018Q2,367502,101362,13822,A,829383.854
1690,20180630,2018,3,INDL,C,D,STD,AAPL,USD,2018Q2,2018Q3,349197,97128,11519,A,896472.3659
1690,20180930,2018,4,INDL,C,D,STD,AAPL,USD,2018Q3,2018Q4,365725,93735,14125,A,1073390.54
1690,20181231,2019,1,INDL,C,D,STD,AAPL,USD,2018Q4,2019Q1,373719,92989,19965,A,746079.1252
1690,20190331,2019,2,INDL,C,D,STD,AAPL,USD,2019Q1,2019Q2,341998,90201,11561,A,875153.5958
1690,20190630,2019,3,INDL,C,D,STD,AAPL,USD,2019Q2,2019Q3,322239,84936,10044,A,896853.6984
1690,20190930,2019,4,INDL,C,D,STD,AAPL,USD,2019Q3,2019Q4,338516,91807,13686,A,995151.5669
1690,20191231,2020,1,INDL,C,D,STD,AAPL,USD,2019Q4,2020Q1,340618,100278,22236,A,1287643.21
1690,20200331,2020,2,INDL,C,D,STD,AAPL,USD,2020Q1,2020Q2,320400,97136,11249,A,1099546.654
1690,20200630,2020,3,INDL,C,D,STD,AAPL,USD,2020Q2,2020Q3,317344,102138,11253,A,1562780.947
1690,20200930,2020,4,INDL,C,D,STD,AAPL,USD,2020Q3,2020Q4,323888,107049,12673,A,1966078.923
1690,20201231,2021,1,INDL,C,D,STD,AAPL,USD,2020Q4,2021Q1,354054,99281,28755,A,2232278.768
